Полный адрес,Адрес ТП,Источник теплоснабжения,Балансодержатель,UNOM,ЦТП,Вид ТП,№ ОДС,geoData,geodata_center,id_administration,id_Municipal,ID ODS
"город Москва, улица Олений Вал, дом 24, корпус 3","ул. Олений Вал, д.24, корп.3, стр.2",ТЭЦ №23,ПАО «МОЭК»,17490.0,04-02-0608/119,ЦТП,ОДС №5-Сокольники,"{coordinates=[[[37.69751847, 55.799430108], [37.697524653, 55.799549104], [37.697613936, 55.799547165], [37.697613846, 55.799529201], [37.697642546, 55.799529156], [37.697642638, 55.799547118], [37.69775504, 55.799545142], [37.697751397, 55.79945533], [37.697786476, 55.799455275], [37.697782875, 55.799373996], [37.697652134, 55.799376003], [37.697651238, 55.799356244], [37.697703055, 55.799355263], [37.697700463, 55.799315748], [37.697648646, 55.799316729], [37.697641704, 55.799205368], [37.697549233, 55.799207312], [37.697549332, 55.799227072], [37.697517444, 55.799227124], [37.697517333, 55.799205568], [37.697415295, 55.799207527], [37.69741924, 55.799356618], [37.697514908, 55.799356463], [37.69751847, 55.799430108]]], type=Polygon}","{coordinates=[37.697650662, 55.799403055], type=Point}",1.0,16.0,143495553.0
"город Москва, улица Стромынка, дом 23/16","ул. Стромынка, д.19, корп.1, стр.1",ТЭЦ №23,ПАО «МОЭК»,24960.0,04-02-0608/102,ЦТП,ОДС №5-Сокольники,"{coordinates=[[[37.699862112, 55.7951735], [37.699753332, 55.795258104], [37.69993307, 55.795331462], [37.69996781, 55.795304589], [37.699985473, 55.795312768], [37.700004549, 55.795299085], [37.699985697, 55.795290753], [37.69999183, 55.79528601], [37.700025382, 55.795299876], [37.700061904, 55.795271524], [37.700028354, 55.795257657], [37.700049792, 55.795241006], [37.700088932, 55.795256661], [37.70011275, 55.795237761], [37.70007361, 55.795222106], [37.700102193, 55.795200055], [37.700342775, 55.795012845], [37.700339556, 55.795007012], [37.700368229, 55.795002473], [37.700350518, 55.794968373], [37.700321844, 55.794972909], [37.700294306, 55.794921299], [37.700333276, 55.794914462], [37.700317538, 55.794889072], [37.700280773, 55.794895936], [37.700275158, 55.794885414], [37.699991159, 55.794844561], [37.69993122, 55.794970402], [37.700065227, 55.794986352], [37.700074894, 55.795006096], [37.699909748, 55.7951357], [37.699880995, 55.795124969], [37.699833359, 55.79516277], [37.699862112, 55.7951735]]], type=Polygon}","{coordinates=[37.700132794, 55.795068907], type=Point}",1.0,16.0,143495553.0
"город Москва, Измайловский бульвар, дом 77","Измайловский бульв., д.73, стр.2",ТЭЦ №23,ПАО «МОЭК»,8650.0,04-07-0604/090,ЦТП,ОДС №1-Восточное Измайлово,"{coordinates=[[[37.822847954, 55.797356533], [37.823069733, 55.797359372], [37.823074331, 55.797245299], [37.823116874, 55.797245757], [37.82311851, 55.797198985], [37.823075969, 55.797198527], [37.823079723, 55.797099271], [37.822857977, 55.797096432], [37.822847954, 55.797356533]]], type=Polygon}","{coordinates=[37.822985416, 55.797222142], type=Point}",1.0,14.0,143495250.0
"город Москва, Сиреневый бульвар, дом 54","Сиреневый бульв., д.54, стр.2",ТЭЦ №23,ПАО «МОЭК»,23787.0,04-07-0604/144,ЦТП,ОДС №1-Восточное Измайлово,"{coordinates=[[[37.822327733, 55.802831733], [37.822484921, 55.802833064], [37.822485186, 55.80288978], [37.822537826, 55.802890213], [37.822545082, 55.802833574], [37.822841669, 55.802836086], [37.8228422, 55.802815823], [37.82293061, 55.802815898], [37.822930941, 55.802791933], [37.822842881, 55.802789793], [37.822843609, 55.802761938], [37.822934218, 55.80276284], [37.822936966, 55.802665877], [37.822880775, 55.802665454], [37.82288113, 55.80264777], [37.822803167, 55.802647124], [37.822802334, 55.802670791], [37.822729946, 55.80267013], [37.822730643, 55.802633623], [37.822769109, 55.802634092], [37.822770316, 55.802595311], [37.822731848, 55.802594842], [37.822736194, 55.802446536], [37.822770613, 55.802446735], [37.822771376, 55.802414798], [37.822736928, 55.802414598], [37.822740824, 55.802272004], [37.822783341, 55.802272463], [37.822784143, 55.802245085], [37.822741594, 55.802244627], [37.822745462, 55.802098612], [37.822787976, 55.80209878], [37.822788712, 55.802063423], [37.822746168, 55.802063244], [37.822748501, 55.801976552], [37.822553553, 55.801974784], [37.822537476, 55.802663504], [37.822340002, 55.802662022], [37.822338874, 55.802706513], [37.822309007, 55.802706591], [37.822308402, 55.802757641], [37.822329676, 55.802757865], [37.822327733, 55.802831733]]], type=Polygon}","{coordinates=[37.822656954, 55.802430667], type=Point}",1.0,14.0,143495250.0
"город Москва, 16-я Парковая улица, дом 19, корпус 3","16-я Парковая ул., д.19, стр.4",ТЭЦ №23,ПАО «МОЭК»,18998.0,04-07-0601/040,ЦТП,ОДС №1-Восточное Измайлово,"{coordinates=[[[37.822517169, 55.799962708], [37.822674437, 55.799939482], [37.822684236, 55.79996084], [37.822757552, 55.799950096], [37.822747752, 55.799928737], [37.822976312, 55.799894771], [37.822986618, 55.799917269], [37.823091785, 55.799901599], [37.823081476, 55.799879093], [37.82331355, 55.799844547], [37.823322855, 55.799866486], [37.823426536, 55.79985224], [37.823417231, 55.799830302], [37.823637161, 55.799796358], [37.823648021, 55.799821423], [37.823769866, 55.79980428], [37.82375904, 55.799779213], [37.823983016, 55.799744977], [37.823993862, 55.799768613], [37.824093462, 55.799754097], [37.824082646, 55.799730453], [37.824273198, 55.79970195], [37.824278293, 55.799729404], [37.824389082, 55.799713716], [37.824380429, 55.799686051], [37.824519508, 55.799665429], [37.824470556, 55.799560899], [37.824358741, 55.799548714], [37.824374763, 55.799575122], [37.824234846, 55.799595897], [37.824223348, 55.799560606], [37.824161981, 55.79959107], [37.824085696, 55.79958258], [37.824104299, 55.79961528], [37.8238986, 55.79964582], [37.823883371, 55.799609177], [37.823831177, 55.799639268], [37.823766083, 55.799629524], [37.823781334, 55.79966323], [37.823555881, 55.799696702], [37.823537797, 55.799658374], [37.823487621, 55.799687584], [37.823410885, 55.79968111], [37.823426639, 55.79971589], [37.823223209, 55.799746093], [37.823201609, 55.799714381], [37.823148754, 55.799739305], [37.823077613, 55.799732204], [37.823103045, 55.799763933], [37.822874017, 55.799797935], [37.822855583, 55.799765593], [37.822800713, 55.799791397], [37.822727105, 55.799787193], [37.822743467, 55.799817316], [37.822553658, 55.799845495], [37.822531936, 55.799814296], [37.82246822, 55.799858178], [37.822517169, 55.799962708]]], type=Polygon}","{coordinates=[37.823495141, 55.799759015], type=Point}",1.0,14.0,143495250.0
"город Москва, 15-я Парковая улица, дом 28","15-я Парковая ул., д.28, стр.2",ТЭЦ №23,ПАО «МОЭК»,18911.0,04-07-0604/154,ИТП,ОДС №1-Восточное Измайлово,"{coordinates=[[[37.81959247, 55.802185271], [37.819802101, 55.802188427], [37.819803855, 55.802155347], [37.819826655, 55.802155568], [37.819828396, 55.802121058], [37.819845092, 55.802121304], [37.8198464, 55.802094776], [37.819878794, 55.802095262], [37.819880077, 55.802065604], [37.819847682, 55.802065118], [37.819848558, 55.802050284], [37.819826787, 55.80205006], [37.819827648, 55.802029814], [37.820014975, 55.802032457], [37.820014534, 55.802039589], [37.820116329, 55.802041034], [37.820119289, 55.801973156], [37.820091443, 55.801972658], [37.820092721, 55.801942429], [37.820117545, 55.801942646], [37.820117956, 55.801932101], [37.820144275, 55.801932314], [37.820145548, 55.801901515], [37.820119229, 55.801901293], [37.82012051, 55.801875056], [37.820096713, 55.801874837], [37.820097989, 55.801844318], [37.820072165, 55.801843815], [37.820074736, 55.80178506], [37.819867131, 55.801782179], [37.819858555, 55.801970413], [37.819740072, 55.801969582], [37.819740475, 55.801957889], [37.819632609, 55.801956458], [37.819629599, 55.802018636], [37.819600227, 55.802018142], [37.81959247, 55.802185271]]], type=Polygon}","{coordinates=[37.81987451, 55.801995649], type=Point}",1.0,14.0,143495250.0
"город Москва, Сиреневый бульвар, дом 72, корпус 1","16-я Парковая ул., д.16, корп.3, стр.1",ТЭЦ №23,ПАО «МОЭК»,23813.0,04-07-0604/191,ЦТП,ОДС №1-Восточное Измайлово,"{coordinates=[[[37.835109049, 55.8020027], [37.834889338, 55.801881266], [37.834861113, 55.801898438], [37.834842815, 55.801889374], [37.834774307, 55.80193061], [37.834792615, 55.801940831], [37.834760423, 55.80196032], [37.834872075, 55.802021714], [37.834807337, 55.802059404], [37.834883613, 55.802099684], [37.834949148, 55.802064123], [37.835137657, 55.802167801], [37.835073846, 55.802204665], [37.83515524, 55.802249492], [37.835219111, 55.802212585], [37.835340247, 55.802279213], [37.835455098, 55.802212748], [37.835394052, 55.802179846], [37.835410169, 55.802170672], [37.835239258, 55.802074199], [37.83522313, 55.802082225], [37.835094947, 55.80201073], [37.835109049, 55.8020027]]], type=Polygon}","{coordinates=[37.835095351, 55.802078212], type=Point}",1.0,14.0,143495250.0
"город Москва, Сиреневый бульвар, дом 62","Сиреневый бульв., д.62, корп.1, стр.1",ТЭЦ №23,ПАО «МОЭК»,23793.0,04-07-0604/086,ЦТП,ОДС №1-Восточное Измайлово,"{coordinates=[[[37.826926552, 55.802902005], [37.82702327, 55.802903458], [37.827043654, 55.802916526], [37.827074918, 55.802904461], [37.827094165, 55.802904409], [37.827105141, 55.802904557], [37.827105653, 55.802922867], [37.827309619, 55.802925569], [37.827311705, 55.802907326], [37.827325074, 55.802907505], [37.827344442, 55.802921995], [37.827376723, 55.802908788], [37.827639024, 55.8029118], [37.827663445, 55.802926848], [37.8276927, 55.802913087], [37.827959022, 55.802916367], [37.827976332, 55.802926584], [37.827998514, 55.802916262], [37.82803194, 55.802917023], [37.828262848, 55.802920118], [37.828294377, 55.802936006], [37.828327676, 55.802921654], [37.828580848, 55.802924399], [37.828603209, 55.802935181], [37.828629451, 55.80292598], [37.828884646, 55.802928437], [37.828913099, 55.802937772], [37.828929226, 55.80292974], [37.829049238, 55.802930568], [37.829053829, 55.802817626], [37.828069185, 55.802804381], [37.826931178, 55.802789063], [37.826926552, 55.802902005]]], type=Polygon}","{coordinates=[37.827990197, 55.802859815], type=Point}",1.0,14.0,143495250.0
"город Москва, Сиреневый бульвар, дом 50","Сиреневый бульв., д.52, стр.2",ТЭЦ №23,ПАО «МОЭК»,23783.0,04-07-0604/155,ИТП,ОДС №1-Восточное Измайлово,"{coordinates=[[[37.820136594, 55.802783848], [37.820572533, 55.802786993], [37.820574355, 55.802701715], [37.820483247, 55.802704523], [37.820485156, 55.802565353], [37.820539849, 55.802565781], [37.820540959, 55.802519011], [37.820486298, 55.802518583], [37.820488221, 55.802445576], [37.820377334, 55.802444444], [37.820378823, 55.802379419], [37.820314008, 55.802379018], [37.82031438, 55.802363614], [37.820149829, 55.802362333], [37.820145288, 55.802548846], [37.820197957, 55.802549279], [37.820197205, 55.802582927], [37.820141515, 55.802582502], [37.820136594, 55.802783848]]], type=Polygon}","{coordinates=[37.820341219, 55.802574142], type=Point}",1.0,14.0,143495250.0
"город Москва, Сиреневый бульвар, дом 64/31","16-я Парковая ул., д.29, стр.5",ТЭЦ №23,ПАО «МОЭК»,23796.0,04-07-0604/030,ИТП,ОДС №1-Восточное Измайлово,"{coordinates=[[[37.829328619, 55.802739318], [37.829584754, 55.80273493], [37.829578765, 55.802623447], [37.8296152, 55.802622779], [37.829613383, 55.802588559], [37.829576949, 55.802589227], [37.829570409, 55.802474894], [37.829504607, 55.802475921], [37.829503435, 55.80245882], [37.829406245, 55.802460501], [37.829407418, 55.802477611], [37.829314277, 55.80247929], [37.829328619, 55.802739318]]], type=Polygon}","{coordinates=[37.829467787, 55.802606003], type=Point}",1.0,14.0,143495250.0
"город Москва, Главная улица, дом 27","Главная ул., д.20, стр.2",ТЭЦ №23,ПАО «МОЭК»,5495.0,04-06-0601/054-2,ЦТП,ОДС №1-Восточный,"{coordinates=[[[37.872084842, 55.820948922], [37.872130388, 55.820892331], [37.87215628, 55.820898797], [37.872147259, 55.820910245], [37.87236612, 55.820964893], [37.872374125, 55.820954606], [37.872404579, 55.820962215], [37.872358553, 55.821020823], [37.872459066, 55.821045885], [37.872505601, 55.820985294], [37.872530494, 55.820991499], [37.872522491, 55.821001784], [37.872640778, 55.821031372], [37.872708848, 55.820945032], [37.872634727, 55.820926451], [37.87264273, 55.820916147], [37.87241778, 55.820860079], [37.872406786, 55.820873813], [37.872250896, 55.82083492], [37.872260902, 55.820822346], [37.872036484, 55.820766276], [37.872025986, 55.820779711], [37.871863004, 55.820738855], [37.871872486, 55.820726846], [37.87164554, 55.820670221], [37.871634022, 55.820684518], [37.871551782, 55.820663944], [37.871487219, 55.820745692], [37.871601442, 55.820774152], [37.871606957, 55.820767575], [37.871631851, 55.82077378], [37.871590815, 55.820826373], [37.871696418, 55.820852578], [37.871736942, 55.820798846], [37.871761805, 55.820805034], [37.871755801, 55.820812753], [37.871986843, 55.820870523], [37.871995834, 55.820859075], [37.872024789, 55.820866408], [37.871980238, 55.820923012], [37.872084842, 55.820948922]]], type=Polygon}","{coordinates=[37.872131379, 55.820855826], type=Point}",1.0,17.0,143495251.0
"город Москва, улица 9 Мая, дом 28","ул. 9 Мая, д.26, стр.3",ТЭЦ №23,ПАО «МОЭК»,6347.0,04-06-0601/054-1,ЦТП,ОДС №1-Восточный,"{coordinates=[[[37.874861185, 55.817895154], [37.875002302, 55.81792809], [37.875031329, 55.817891214], [37.875052132, 55.817896572], [37.875076667, 55.817865711], [37.875090878, 55.817869369], [37.875114398, 55.817839632], [37.875149924, 55.817795037], [37.875135214, 55.81779138], [37.875162736, 55.817756791], [37.875154083, 55.817754537], [37.875189116, 55.817710521], [37.875198769, 55.817713053], [37.875229309, 55.817674753], [37.875243521, 55.817678411], [37.87531057, 55.817594073], [37.875293828, 55.817589843], [37.875316856, 55.817560987], [37.875309737, 55.817559289], [37.875330239, 55.817533562], [37.875353265, 55.817504407], [37.875368507, 55.81750836], [37.875395538, 55.817474613], [37.875405689, 55.817477162], [37.875468244, 55.817398538], [37.875458092, 55.817396008], [37.875482598, 55.817365427], [37.875466356, 55.817361196], [37.875485379, 55.817336895], [37.875343705, 55.817301102], [37.875324709, 55.817324842], [37.875287136, 55.817315257], [37.87526762, 55.81734012], [37.875244099, 55.817369576], [37.875221563, 55.817397589], [37.875198535, 55.817426464], [37.875223427, 55.817432651], [37.875159367, 55.817513559], [37.875135004, 55.817507353], [37.875107974, 55.817541082], [37.875086456, 55.817568251], [37.875064937, 55.817595401], [37.875039416, 55.817627423], [37.875064808, 55.817633889], [37.874999761, 55.81771566], [37.874972837, 55.817708883], [37.874948826, 55.817739198], [37.874928292, 55.817764926], [37.874905787, 55.817793221], [37.874882761, 55.817822095], [37.874911177, 55.81782885], [37.874861185, 55.817895154]]], type=Polygon}","{coordinates=[37.875174481, 55.817611412], type=Point}",1.0,17.0,143495251.0
"город Москва, Челябинская улица, дом 10, корпус 2","Магнитогорская ул., д.11, стр.2",ТЭЦ №23,ПАО «МОЭК»,28398.0,04-07-0615/012,ЦТП,ОДС №1-Ивановское,"{coordinates=[[[37.825022539, 55.775940243], [37.825155694, 55.775970286], [37.82525117, 55.775991827], [37.825419643, 55.775748699], [37.825190523, 55.775698257], [37.825022539, 55.775940243]]], type=Polygon}","{coordinates=[37.825221151, 55.775844471], type=Point}",1.0,10.0,143495253.0
"город Москва, Челябинская улица, дом 18, корпус 2","Челябинская ул., д.12, стр.3",ТЭЦ №23,ПАО «МОЭК»,28407.0,04-07-0615/017,ЦТП,ОДС №1-Ивановское,"{coordinates=[[[37.829978637, 55.777111068], [37.830204256, 55.777165782], [37.830388899, 55.776924034], [37.83016328, 55.77686932], [37.829978637, 55.777111068]]], type=Polygon}","{coordinates=[37.830183768, 55.777017551], type=Point}",1.0,10.0,143495253.0
"город Москва, Челябинская улица, дом 2","Челябинская ул., д.2, стр.3",ТЭЦ №23,ПАО «МОЭК»,28391.0,04-07-0615/022,ЦТП,ОДС №1-Ивановское,"{coordinates=[[[37.820383982, 55.775202427], [37.820434694, 55.775215408], [37.820424187, 55.775228268], [37.820477919, 55.775241249], [37.820439358, 55.775290679], [37.820538702, 55.775313234], [37.820576245, 55.775264658], [37.820625422, 55.77527651], [37.820637953, 55.775259936], [37.820734254, 55.775283069], [37.820722245, 55.775299072], [37.820770928, 55.775310918], [37.820731374, 55.77536064], [37.820840852, 55.775385449], [37.820878389, 55.775336591], [37.820937204, 55.77535069], [37.8209522, 55.775330978], [37.821032315, 55.775350162], [37.821018797, 55.77536788], [37.821070501, 55.775380287], [37.821033474, 55.775430573], [37.821151054, 55.775456502], [37.821185576, 55.775407933], [37.821234254, 55.775419497], [37.821246755, 55.775403211], [37.821326339, 55.775422107], [37.821315345, 55.775436398], [37.821377184, 55.775451069], [37.821337647, 55.775502782], [37.821439016, 55.775525331], [37.821474514, 55.775474479], [37.821531802, 55.775488301], [37.821544303, 55.775471735], [37.821588929, 55.775482451], [37.821652999, 55.77539787], [37.820455593, 55.775110984], [37.820383982, 55.775202427]]], type=Polygon}","{coordinates=[37.821049401, 55.775322106], type=Point}",1.0,10.0,143495253.0
"город Москва, 1-я Владимирская улица, дом 10","1-я Владимирская ул., д.10",ТЭЦ №11,ПАО «МОЭК»,3982.0,04-03-0417/058,ИТП,ОДС №1-Перово,"{coordinates=[[[37.77404804, 55.758735855], [37.774293002, 55.758347747], [37.774305606, 55.75832796], [37.773635677, 55.758193828], [37.773544314, 55.758339536], [37.773707016, 55.758372855], [37.773729076, 55.758338676], [37.774035334, 55.758400416], [37.773906956, 55.758605486], [37.773846339, 55.758593046], [37.773786456, 55.758684794], [37.77404804, 55.758735855]]], type=Polygon}","{coordinates=[37.774087003, 55.758496731], type=Point}",1.0,15.0,143495262.0
"город Москва, 1-я Владимирская улица, дом 18, корпус 1","1-я Владимирская ул., д.14",ТЭЦ №11,ПАО «МОЭК»,3993.0,04-03-0417/002,ЦТП,ОДС №1-Перово,"{coordinates=[[[37.775754052, 55.755924702], [37.776202017, 55.75519366], [37.775954328, 55.755145176], [37.775903496, 55.755231964], [37.775951023, 55.755241019], [37.775848099, 55.755416573], [37.775794353, 55.755406455], [37.77566955, 55.755618884], [37.775707506, 55.755625894], [37.775605994, 55.755798661], [37.775564525, 55.755790491], [37.775510985, 55.755877285], [37.775754052, 55.755924702]]], type=Polygon}","{coordinates=[37.775866207, 55.755517729], type=Point}",1.0,15.0,143495262.0
"город Москва, 1-я Владимирская улица, дом 12, корпус 2","1-я Владимирская ул., д.12, корп.2",ТЭЦ №11,ПАО «МОЭК»,3985.0,04-03-0417/046,ИТП,ОДС №1-Перово,"{coordinates=[[[37.773049465, 55.757844395], [37.773278632, 55.757474287], [37.773432183, 55.757224702], [37.773247169, 55.757188738], [37.773215667, 55.757239554], [37.773113289, 55.757404597], [37.77301486, 55.75756469], [37.772998316, 55.757590774], [37.77291405, 55.757726587], [37.772892779, 55.757759865], [37.772863648, 55.757807982], [37.77298327, 55.757831069], [37.773049465, 55.757844395]]], type=Polygon}","{coordinates=[37.773146647, 55.757519489], type=Point}",1.0,15.0,143495262.0
"город Москва, 1-я Владимирская улица, дом 18, корпус 5","1-я Владимирская ул., д.18, корп.2",ТЭЦ №11,ПАО «МОЭК»,3997.0,04-03-0417/054,ЦТП,ОДС №1-Перово,"{coordinates=[[[37.772892518, 55.755718965], [37.772964936, 55.755731925], [37.772958943, 55.755742482], [37.773048053, 55.755758248], [37.773053045, 55.755749115], [37.773138604, 55.755764327], [37.773205036, 55.755646698], [37.773227512, 55.755606721], [37.77328546, 55.755503354], [37.773205458, 55.75548899], [37.773210451, 55.755480137], [37.773116779, 55.755463522], [37.77311378, 55.75546837], [37.773041371, 55.755453989], [37.772892518, 55.755718965]]], type=Polygon}","{coordinates=[37.773080309, 55.755626709], type=Point}",1.0,15.0,143495262.0
"город Москва, 1-я Владимирская улица, дом 22, корпус 1","1-я Владимирская ул., д.22, корп.1",ТЭЦ №11,ПАО «МОЭК»,4000.0,04-03-0417/016,ИТП,ОДС №1-Перово,"{coordinates=[[[37.776581052, 55.75300844], [37.776501051, 55.753134102], [37.777222096, 55.753273923], [37.777465901, 55.7528593], [37.777243131, 55.752818735], [37.777075199, 55.753096302], [37.776581052, 55.75300844]]], type=Polygon}","{coordinates=[37.776690605, 55.753052371], type=Point}",1.0,15.0,143495262.0
"город Москва, 1-я Владимирская улица, дом 22, корпус 2","1-я Владимирская ул., д.22, корп.2",ТЭЦ №11,ПАО «МОЭК»,4001.0,04-03-0417/014,ИТП,ОДС №1-Перово,"{coordinates=[[[37.775756353, 55.7523658], [37.775423521, 55.752923204], [37.776079743, 55.753048915], [37.776164703, 55.752907279], [37.776010259, 55.75287798], [37.77599478, 55.752903959], [37.775691484, 55.75284647], [37.775906375, 55.752486962], [37.775959027, 55.752496809], [37.776008505, 55.752413722], [37.775756353, 55.7523658]]], type=Polygon}","{coordinates=[37.77568486, 55.752671639], type=Point}",1.0,15.0,143495262.0
"город Москва, Зелёный проспект, дом 11А","Зелёный просп., д.13",ТЭЦ №22,ПАО «МОЭК»,8344.0,04-03-0209/029,ЦТП,ОДС №1-Перово,"{coordinates=[[[37.777130331, 55.750601497], [37.778098448, 55.750793225], [37.778172276, 55.750651629], [37.777929245, 55.750605411], [37.777912756, 55.750633394], [37.777453028, 55.750546019], [37.777471012, 55.750516033], [37.77720823, 55.750463315], [37.777130331, 55.750601497]]], type=Polygon}","{coordinates=[37.777529942, 55.750619403], type=Point}",1.0,15.0,143495262.0
"город Москва, 1-я Владимирская улица, дом 24, корпус 2","1-я Владимирская ул., д.24, корп.2",ТЭЦ №11,ПАО «МОЭК»,4006.0,04-03-0417/015,ИТП,ОДС №1-Перово,"{coordinates=[[[37.776186387, 55.75239906], [37.777156548, 55.75258851], [37.777242039, 55.752449732], [37.776990888, 55.752400671], [37.776973391, 55.752429233], [37.776509555, 55.752335601], [37.776525537, 55.752308182], [37.776264276, 55.75225858], [37.776186387, 55.75239906]]], type=Polygon}","{coordinates=[37.776585205, 55.752414952], type=Point}",1.0,15.0,143495262.0
"город Москва, 1-я Владимирская улица, дом 3, корпус 3","1-я Владимирская ул., д.3, корп.3",ТЭЦ №22,ПАО «МОЭК»,3975.0,04-03-0209/036,ИТП,ОДС №1-Перово,"{coordinates=[[[37.775411233, 55.761407123], [37.775679204, 55.761457269], [37.77579491, 55.761262554], [37.775843561, 55.761271876], [37.775876614, 55.761215217], [37.775827963, 55.761205895], [37.775942885, 55.761012979], [37.775674914, 55.760962383], [37.775411233, 55.761407123]]], type=Polygon}","{coordinates=[37.775690032, 55.761210556], type=Point}",1.0,15.0,143495262.0
"город Москва, 1-я Владимирская улица, дом 9","1-я Владимирская ул., д.9",ТЭЦ №22,ПАО «МОЭК»,3980.0,04-03-0209/048,ИТП,ОДС №1-Перово,"{coordinates=[[[37.774159737, 55.759785573], [37.774335186, 55.759818414], [37.774367242, 55.759764026], [37.774418608, 55.759773112], [37.77443388, 55.759745691], [37.774384765, 55.759733425], [37.774471524, 55.759588217], [37.774522744, 55.759595737], [37.774541974, 55.759566005], [37.774490249, 55.759557148], [37.774565814, 55.759429888], [37.774615257, 55.759439208], [37.774630213, 55.759414026], [37.77458077, 55.759404705], [37.774655537, 55.759277446], [37.774705778, 55.759286765], [37.774719943, 55.759262482], [37.774669703, 55.759253613], [37.774711424, 55.759183911], [37.774535977, 55.759150622], [37.774484864, 55.759236589], [37.774452656, 55.759232365], [37.774187737, 55.759684026], [37.774215242, 55.759691854], [37.774159737, 55.759785573]]], type=Polygon}","{coordinates=[37.774411005, 55.759498178], type=Point}",1.0,15.0,143495262.0
"город Москва, 1-я Владимирская улица, дом 9А","1-я Владимирская ул., д.9А",ТЭЦ №22,ПАО «МОЭК»,3981.0,04-03-0209/046,ИТП,ОДС №1-Перово,"{coordinates=[[[37.775358922, 55.760087373], [37.775480158, 55.76011225], [37.775473846, 55.760120797], [37.775511146, 55.760128225], [37.775504839, 55.760139436], [37.775548606, 55.760147186], [37.775553174, 55.760136595], [37.775583114, 55.760142557], [37.775589409, 55.760131765], [37.775912427, 55.760196158], [37.775906119, 55.760205154], [37.775947287, 55.760213243], [37.77593908, 55.760223106], [37.775979202, 55.760230211], [37.775987017, 55.760221049], [37.776014587, 55.760226467], [37.776020894, 55.760217471], [37.776145318, 55.760242339], [37.77615319, 55.760229299], [37.776186687, 55.76023596], [37.776211099, 55.760196385], [37.776177599, 55.760189723], [37.776209885, 55.760137557], [37.776243385, 55.760144218], [37.776267796, 55.760105093], [37.7762343, 55.760098432], [37.776239811, 55.760089437], [37.775879307, 55.760017495], [37.775900567, 55.759982868], [37.775835163, 55.759969543], [37.775812312, 55.760004173], [37.775457392, 55.759933564], [37.775358922, 55.760087373]]], type=Polygon}","{coordinates=[37.775799296, 55.760088405], type=Point}",1.0,15.0,143495262.0
"город Москва, шоссе Энтузиастов, дом 60, корпус 3","2-я Владимирская ул., д.4, корп.1",ТЭЦ №22,ПАО «МОЭК»,30143.0,04-03-0209/068,ЦТП,ОДС №1-Перово,"{coordinates=[[[37.774778874, 55.761640266], [37.77506998, 55.761695302], [37.775169954, 55.761528018], [37.774879644, 55.761472532], [37.774778874, 55.761640266]]], type=Polygon}","{coordinates=[37.774974502, 55.761584142], type=Point}",1.0,15.0,143495262.0
"город Москва, 2-я Владимирская улица, дом 8, корпус 1","2-я Владимирская ул., д.6, корп.2",ТЭЦ №22,ПАО «МОЭК»,4034.0,04-03-0209/034,ЦТП,ОДС №1-Перово,"{coordinates=[[[37.77700565, 55.761163726], [37.77713326, 55.761188588], [37.777126978, 55.761201175], [37.777216311, 55.761218938], [37.777222593, 55.76120635], [37.777576704, 55.761273362], [37.777567247, 55.761287755], [37.77766295, 55.761305502], [37.77767242, 55.761292906], [37.777796832, 55.761315977], [37.777888085, 55.761155896], [37.77709932, 55.761007232], [37.77700565, 55.761163726]]], type=Polygon}","{coordinates=[37.777446923, 55.761159811], type=Point}",1.0,15.0,143495262.0
"город Москва, 3-й проезд Перова Поля, дом 5","3-й пр. Перова Поля, д.5",ТЭЦ №11,ПАО «МОЭК»,19419.0,04-03-0417/042,ИТП,ОДС №1-Перово,"{coordinates=[[[37.774590348, 55.751215186], [37.774406035, 55.751179091], [37.774130075, 55.751626866], [37.774314375, 55.75166296], [37.774590348, 55.751215186]]], type=Polygon}","{coordinates=[37.774360208, 55.751421026], type=Point}",1.0,15.0,143495262.0
"город Москва, 3-й проезд Перова Поля, дом 5А","3-й пр. Перова Поля, д.5А",ТЭЦ №11,ПАО «МОЭК»,19420.0,04-03-0417/011,ИТП,ОДС №1-Перово,"{coordinates=[[[37.774724695, 55.751625538], [37.774662729, 55.751731194], [37.774816661, 55.751761356], [37.775079451, 55.751812379], [37.775349828, 55.751865103], [37.77546375, 55.751887372], [37.775513244, 55.751806846], [37.775695024, 55.751842365], [37.775971951, 55.751390901], [37.775792708, 55.751355078], [37.7756417, 55.7515961], [37.775576706, 55.751699764], [37.775526712, 55.75178001], [37.775478092, 55.751770717], [37.774724695, 55.751625538]]], type=Polygon}","{coordinates=[37.775734763, 55.751610819], type=Point}",1.0,15.0,143495262.0
"город Москва, 3-й проезд Перова Поля, дом 7","3-й пр. Перова Поля, д.7",ТЭЦ №11,ПАО «МОЭК»,19421.0,04-03-0417/013,ИТП,ОДС №1-Перово,"{coordinates=[[[37.774781395, 55.750917045], [37.775057341, 55.75046699], [37.774880137, 55.750433178], [37.774596088, 55.750880954], [37.774781395, 55.750917045]]], type=Polygon}","{coordinates=[37.77482891, 55.750673972], type=Point}",1.0,15.0,143495262.0
